대학코드,국가,대학명,파견구분,협정형태,NUM_VISITS,BERT_SUM,RNN_SUM,BERT_AVG,RNN_AVG,BERT_PLUS_RNN_SCORE,COLLEGE_LINK
GB000001,UNITED KINGDOM,London Business School,교환학생,,1.0,1.0,0.5188660621643066,1.0,0.5188660621643066,0.855659818649292,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000001&bgbn=A
GB000028,UNITED KINGDOM,London Metropolitan University,교환학생,USAC,1.0,0.0,0.5156486034393309,0.0,0.5156486034393309,0.15469458103179928,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000028&bgbn=A
GB000002,UNITED KINGDOM,Middlesex University,방문학생SAP(정규),SAF,1.0,1.0,0.7314323186874391,1.0,0.7314323186874391,0.9194296956062317,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000002&bgbn=A
GB000003,UNITED KINGDOM,Napier University,교환학생,ISEP,1.0,1.0,0.8469486832618713,1.0,0.8469486832618713,0.9540846049785614,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000003&bgbn=A
GB000044,UNITED KINGDOM,Queen Mary University of London,,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000044&bgbn=A
GB000004,UNITED KINGDOM,"Queen Mary, University of London",방문학생SAP(정규),SAF,2.0,2.0,1.3890838027000427,1.0,0.6945419013500214,0.9083625704050063,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000004&bgbn=A
GB000033,UNITED KINGDOM,"SOAS, University of London",교환학생,교환대학,9.0,4.0,6.251262307167053,0.4444444444444444,0.6945847007963393,0.5194865213500128,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000033&bgbn=A
GB000034,UNITED KINGDOM,The University of Edinburgh,교환학생,교환대학,10.0,6.0,7.704999089241028,0.6,0.7704999089241028,0.6511499726772308,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000034&bgbn=A
GB000038,UNITED KINGDOM,University of Aberdeen,,교환대학ISEP,5.0,3.0,3.1435794830322266,0.6,0.6287158966064453,0.6086147689819336,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000038&bgbn=A
GB000036,UNITED KINGDOM,University of Bath,교환학생,교환대학,12.0,10.0,8.34754341840744,0.8333333333333334,0.69562861820062,0.7920219187935194,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000036&bgbn=A
GB000039,UNITED KINGDOM,University of Birmingham,,교환대학ISEP,5.0,2.0,2.94839870929718,0.4,0.5896797418594361,0.45690392255783074,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000039&bgbn=A
GB000005,UNITED KINGDOM,University of Brighton,교환학생,USAC,41.0,35.0,27.6363767683506,0.8536585365853658,0.6740579699597707,0.7997783665976873,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000005&bgbn=A
GB000006,UNITED KINGDOM,University of Bristol,교환학생방문학생SAP(정규),교환대학SAF,14.0,11.0,9.643553614616394,0.7857142857142857,0.6888252581868853,0.7566475774560655,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000006&bgbn=A
GB000030,UNITED KINGDOM,University of Cambridge,SAP(계절),,1.0,1.0,0.7550404667854309,1.0,0.7550404667854309,0.9265121400356292,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000030&bgbn=A
GB000007,UNITED KINGDOM,University of Central Lancashire,교환학생,ISEP,1.0,1.0,0.6680951714515686,1.0,0.6680951714515686,0.9004285514354705,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000007&bgbn=A
GB000008,UNITED KINGDOM,University of Chester,교환학생,ISEP,1.0,1.0,0.9431087970733644,1.0,0.9431087970733644,0.9829326391220092,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000008&bgbn=A
GB000009,UNITED KINGDOM,University of East Anglia,방문학생SAP(정규),SAF,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000009&bgbn=A
GB000010,UNITED KINGDOM,University of Edinburgh,교환학생방문학생SAP(정규),교환대학SAF,7.0,7.0,5.607286095619202,1.0,0.8010408708027431,0.9403122612408229,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000010&bgbn=A
GB000040,UNITED KINGDOM,University of Exeter,,교환대학ISEP,9.0,5.0,6.6189601719379425,0.5555555555555556,0.7354400191042159,0.6095208946201537,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000040&bgbn=A
GB000011,UNITED KINGDOM,University of Glasgow,방문학생SAP(정규),교환대학ISEPSAF,5.0,5.0,3.292084276676178,1.0,0.6584168553352356,0.8975250566005706,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000011&bgbn=A
GB000032,UNITED KINGDOM,University of Hertfordshire,교환학생,교환대학,25.0,20.0,18.69444441795349,0.8,0.7477777767181396,0.7843333330154418,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000032&bgbn=A
GB000012,UNITED KINGDOM,University of Huddersfield,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000012&bgbn=A
GB000013,UNITED KINGDOM,University of Kent,방문학생SAP(정규),SAF,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000013&bgbn=A
GB000041,UNITED KINGDOM,University of Leeds,,교환대학ISEP,12.0,11.0,8.74409931898117,0.9166666666666666,0.7286749432484309,0.8602691496411958,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000041&bgbn=A
GB000014,UNITED KINGDOM,University of Nottingham,교환학생,교환대학,5.0,4.0,3.6107810139656067,0.8,0.7221562027931213,0.7766468608379363,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000014&bgbn=A
GB000015,UNITED KINGDOM,University of Oxford,방문학생SAP(정규),교환대학ISEPSAF,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000015&bgbn=A
GB000016,UNITED KINGDOM,University of Plymouth,교환학생,ISEP,1.0,1.0,0.8403265476226807,1.0,0.8403265476226807,0.9520979642868042,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000016&bgbn=A
GB000017,UNITED KINGDOM,University of Sheffield,교환학생,교환대학,89.0,76.0,58.18052613735199,0.8539325842696629,0.6537137768241796,0.7938669420360179,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000017&bgbn=A
GB000042,UNITED KINGDOM,University of Southampton,,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000042&bgbn=A
