,__,êµ,__,__,ê²½ë_
0,Universidad del Salvador, Argentina, Buenos Aires,-34.6011779,-58.391496
1,Australian National University, Australia,Canberra ACT 0200,-35.2776999,149.118527
2,Bond University, Australia, Robina QLD 4226,-28.0730934,153.4166377
3,Curtin University, Australia, Bentley WA 6102,-32.0061951,115.8944182
4,Curtin University of Technology, Australia, Bentley WA 6102,-32.0061951,115.8944182
5,Deakin University, Australia, Burwood VIC 3125,-37.8474187,145.1149861
6,La Trobe University, Australia, Bundoora VIC 3086,-37.7206671,145.048414
7,Monash University, Australia, Clayton VIC 3800,-37.9105599,145.1362485
8,Murdoch University, Australia, Murdoch WA 6150,-32.071,115.825
9,Swinburne University of Technology, Australia, Hawthorn VIC 3122,-37.8221504,145.0389546
10,University of Adelaide, Australia,Adelaide SA 5005,-34.920603,138.6062277
11,University of New South Wales, Australia,Sydney NSW 2052,-33.917347,151.2312675
12,University of Queensland, Australia,St Lucia QLD 4072,-27.4975028,153.0136905
13,University of Southern Queensland, Australia, Darling Heights QLD 4350,-27.6043593,151.9303905
14,University of Sydney, Australia,Camperdown NSW 2006,-33.8885748,151.1873494
15,"University of Technology, Sydney", Australia, Ultimo NSW 2007,-33.8832376,151.2004942
16,FH Kufstein Tirol University of Applied Sciences, Austria, 6330 Kufstein,47.583807,12.1736679
17,Johannes Kepler Universitat Linz, Austria, 4040 Linz,48.3364079,14.3181628
18,Karl-Franzens-Universitat Graz, Austria, 8010 Graz,47.0776328,15.4495241
19,Universities of Applied Sciences Upper Austria, Austria, 4600 Wels,48.1610538,14.0267157
20,University of Applied Sciences Wiener Neustadt, Austria, 2700 Wiener Neustadt,47.8389128,16.24845
21,University of Vienna, Austria, 1010 Wien,48.2131855,16.3600504
22,Vienna University of Economics and Business, Austria, 1020 Wien,48.2134275,16.4084666
23,Ghent University, Belgium, 9000 Gent,51.0465619,3.7279181
24,KU Leuven, Belgium, 3000 Leuven,50.8779545,4.7002953
25,Universite Catholique De Louvain, Belgium, 1348 Ottignies-Louvain-la-Neuve,50.6696875,4.6155909
26,Bishop's University, Canada, QC J1M 1Z7,45.3628528,-71.8456569
27,Brock University, Canada, ON L2S 3A1,43.1175731,-79.2476925
28,Dalhousie University, Canada, NS B3H 4R2,44.6365812,-63.5916555
29,Huron University College, Canada, ON N6G 1H3,43.0089768,-81.2777032
30,Laurentian University, Canada, ON P3E 2C6,46.4700285,-80.9744513
31,McGill University, Canada, QC H3A 0G4,45.5047847,-73.5771511
32,Simon Fraser University, Canada, BC V5A 1S6,49.2780937,-122.9198833
33,Thompson Rivers University, Canada, BC V2C 0C8,50.6705062,-120.365894
34,Trent University, Canada, ON L1J 5Y1,43.8896788,-78.8905517
35,University College of Cape Breton, Canada, NS B1P 6L2,46.1706301,-60.0934998
36,University of Alberta, Canada, AB T6G 2R3,53.5232189,-113.5263186
37,University of British Columbia, Canada, BC V6T 1Z4,49.2606052,-123.2459938
38,University of Calgary, Canada, AB T2N 1N4,51.0775908,-114.140695
39,University of Manitoba, Canada, MB R3T 2N2,49.8075008,-97.1366259
40,University of Montreal, Canada, QC H3T 1J4,45.5056156,-73.6137592
41,University of Regina, Canada, SK S4S 0A2,50.4154542,-104.5878302
42,University of Toronto, Canada, ON M5S,43.6628917,-79.3956564
43,University of Victoria, Canada, BC V8P 5C2,48.4634067,-123.3116935
44,University of Waterloo, Canada, ON N2L 3G1,43.4722854,-80.5448576
45,"University of Western Ontario, Richard Ivey School of Business", Canada, ON N6G 0N1,43.0043193,-81.2778586
46,York University, Canada, ON M3J 1P3,43.7734535,-79.5018684
47,York University: Schulich School of Business, Canada, ON M3J 1P3,43.773227,-79.498257
48,Fudan University, China, Shanghai Shi,31.2974197,121.5036178
49,Jilin University, China, Jilin Sheng,43.82572,125.2850161
50,Nanjing University, China, Jiangsu,32.0568391,118.7789602
51,North China Electric Power University, __è§___·¯2, Changping Qu,40.0897592,116.3097968
52,Peking University,100871, China,39.986913,116.3058739
53,Shandong University, 27·å_è·27 CN å±±ä_ æµ__å¸ å±±å¤§, Shanda S Rd,36.64893,117.029014
54,Shanghai University, China, Shanghai Shi,31.3148036,121.382746
55,Sun Yat-sen University, China, Guangdong Sheng,23.0965384,113.298883
56,Tsinghua University, China, Beijing Shi,39.9996674,116.3264439
57,Wuhan University,430072, China,30.5360485,114.3643219
58,Yanbian University of Science and Technology, China, Jilin Sheng,42.927011,129.534938
59,Zhejiang Normal University, China, Zhejiang,29.079175,119.64742
60,Zhejiang University,310027, China,30.3086844,120.0864995
61,Universidad Nacional de Costa Rica, Costa Rica,3000,9.9986898,-84.1111898
62,Charles University, Czechia, 110 00 Praha-Praha 1,50.0871106,14.4234889
63,Aarhus University, Denmark, 8000 Aarhus C,56.1681384,10.2030118
64,Copenhagen Business School, Denmark, 2000 Frederiksberg,55.6815652,12.5296944
65,University of Copenhagen, Denmark, 1165 KÃ¸benhavn,55.6802303,12.5724096
66,Aalto University, Finland,02150 Espoo,60.1866693,24.827682
67,Abo Akademi University, Finland, 20500 Turku,60.4509869,22.2776003
68,The University of Turku, Finland,20500 Turku,60.4562974,22.2851138
69,University of Eastern Finland, Finland, 70210 Kuopio,62.8936601,27.6392295
70,University of Helsinki, Finland, 00100 Helsinki,60.1726348,24.9510419
71,"University of Jyvaskyla, School of Business & Economics", Finland, 40014 JyvÃ¤skylÃ¤n yliopisto,62.2365317,25.7316336
72,University of Oulu, Finland, 90570 Oulu,65.0593177,25.4662935
73,University of Tampere, Finland, 33100 Tampere,61.4941073,23.7792354
74,Ecole Superieure des Sciences Economiques et Commerciales (ESSEC Business School), France,"3 Avenue Bernard Hirsch, 95000 Cergy, France",49.0335,2.07683
75,Ecole Superieure du Commerce Exterieur (ESCE), France, 75015 Paris,48.851228,2.2885991
76,ESC (Business School) Amiens, France, 80000 Amiens,49.8951165,2.3023694
77,ESCEM (France Business School) Tours-Poitiers, France, 37200 Tours,47.3654934,0.7050884
78,Hautes Etudes Commercials (HEC Paris), France, 78350 Jouy-en-Josas,48.757334,2.1693947
79,Institut d'Etudes Politiques de Rennes, France, 35700 Rennes,48.121193,-1.6685407
80,Institut National des Sciences Appliquees de Lyon (INSA-Lyon), France, 69100 Villeurbanne,45.7833244,4.8781984
81,ISC PARIS - School of Management, France, 75017 Paris,48.8926991,2.3010645
82,KEDGE Business School, France, 33405 Talence,44.7964981,-0.6020615
83,Paris School of Business, France, 75013 Paris,48.8256896,2.3664402
84,Pole ESG-Paris Graduate School of Management, France, 75013 Paris,48.8256896,2.3664402
85,Sciences-Po, France, 75007 Paris,48.8540116,2.3285918
86,Universite d'Angers, France, 49100 Angers,47.4784722,-0.5496561
87,Universite de Franche-Comte, France, 25000 BesanÃ§on,47.2405045,6.0226187
88,Universite de Lille III (Charles de Gaulle), France, 59650 Villeneuve-d'Ascq,50.6284632,3.1261485
89,Universite de Nantes, France, 44035 Nantes,47.2099669,-1.5558785
90,Universite de Rennes II (Haute-Bretagne), France, 35000 Rennes,48.1179154,-1.7028658
91,Universite du Havre, France, 76600 Le Havre,49.4964477,0.1282725
92,Universite Paul Cezanne (Aix-Marseille III), France, 13004 Marseille,43.3059797,5.3949646
93,Universite Paul Valery (Montpellier III), France, 34090 Montpellier,43.632442,3.8702447
94,University of Pau, France, 64000 Pau,43.313937,-0.366743
95,Eberhard Karls Universitat Tubingen, Germany, 72074 TÃ¼bingen,48.5294782,9.043774
96,European Business School, France, 75015 Paris,48.8377548,2.2915883
97,Freie Universitat Berlin, Germany, 14195 Berlin,52.4543245,13.2934768
