No,제목,학과,과정,년도,href,BERT_SCORE
46,자유로운 한 학기를 경험하고 싶다면,경영학과,학부,2019,/partner/expReport.asp?id=15975&page=1&bgbn=R,0
45,평화롭고 자유로운 네덜란드를 느끼고 싶다면!,경영학과,학부,2019,/partner/expReport.asp?id=15927&page=1&bgbn=R,1
44,네덜란드를 제대로 경험하고 싶다면..!,경영학과,학부,2017,/partner/expReport.asp?id=14043&page=1&bgbn=R,1
43,후회없는 교환학생생활을 보내시고 싶으시다면 추천합니다!,실내건축학과,학부,2016,/partner/expReport.asp?id=13185&page=1&bgbn=R,1
42,"Life in Haarlem, the Netherlands",테크노아트학부,학부,2015-2016,/partner/expReport.asp?id=12626&page=1&bgbn=R,0
41,Haarlem에서의 평화로운 한학기,경영대학,학부,2015,/partner/expReport.asp?id=12215&page=1&bgbn=R,1
40,평화롭고 아름다운 도시 하를럼에서,경영대학,학부,2014-2015,/partner/expReport.asp?id=11782&page=1&bgbn=R,1
39,네덜란드 교환학생에 대해 궁금하십니까???,경영학과,학부,2014,/partner/expReport.asp?id=7168&page=1&bgbn=R,0
38,인홀란드 대학 암스테르담 캠퍼스,UIC 정외과 - 교환 언론홍보학 수강,학부,2013,/partner/expReport.asp?id=6930&page=1&bgbn=R,1
37,잊을 수 없는 네덜란드에서의 교환생활,경영학과,학부,2013,/partner/expReport.asp?id=6597&page=1&bgbn=R,0
36,"네덜란드의 가장 아름다운 도시, Haarlem에서의 한 학기",응용통계학과,학부,2012,/partner/expReport.asp?id=6592&page=2&bgbn=R,1
35,Haarlem에서의 한학기,경영학과,학부,2012,/partner/expReport.asp?id=6259&page=2&bgbn=R,1
34,네덜란드에서의 잊지못할 6개월,경제학과,학부,2012,/partner/expReport.asp?id=6216&page=2&bgbn=R,1
33,"인생의 오아시스, 교환학생",경영학과,학부,2010,/partner/expReport.asp?id=5952&page=2&bgbn=R,1
32,Erasmus life in Haarlem!,생활디자인과,학부,2012,/partner/expReport.asp?id=5706&page=2&bgbn=R,1
31,Haarlem에서의 소중했던 한 학기,경영학과,학부,2011,/partner/expReport.asp?id=5455&page=2&bgbn=R,1
30,아는자만이 누릴수있다!!! Haalrem의 A to Z,경영학과,학부,2011,/partner/expReport.asp?id=5434&page=2&bgbn=R,1
29,인홀란드 대학 교환학생기,윤석기,학부,2011,/partner/expReport.asp?id=5021&page=2&bgbn=R,0
28,그 해 가을은 행복했습니다,경제학과,학부,2010,/partner/expReport.asp?id=4904&page=2&bgbn=R,1
27,소중한 기억으로 남은 교환학생 생활!,경영학과,학부,2010,/partner/expReport.asp?id=4776&page=2&bgbn=R,1
26,잊지못할 Inholland에서의 추억,경제학과,학부,2009,/partner/expReport.asp?id=4473&page=3&bgbn=R,1
25,Harrlem 에서의 한학기,의류환경,학부,2010,/partner/expReport.asp?id=4321&page=3&bgbn=R,1
24,여유로운 유러피안 라이프 :),신문방송학과,학부,2009,/partner/expReport.asp?id=4001&page=3&bgbn=R,1
23,잊을 수 없는 Erasmus Life,경영학과,학부,2009,/partner/expReport.asp?id=3963&page=3&bgbn=R,0
22,Erasmus Life in Haarlem!,경제학과,학부,2009,/partner/expReport.asp?id=3650&page=3&bgbn=R,1
21,"창조적인 감성이 숨쉬는 곳, 유럽의 혼을 느끼고 오다",경영학과,학부,2008,/partner/expReport.asp?id=3495&page=3&bgbn=R,1
20,"꿈만 같던 그곳- 할렘, 인홀랜드",경영학과,학부,2007,/partner/expReport.asp?id=3097&page=3&bgbn=R,1
19,사람 살기 좋은 곳 인홀랜드,경영학과,학부,2007,/partner/expReport.asp?id=3031&page=3&bgbn=R,1
18,문화적 대척점에서의 한 학기,신문방송학과,학부,2007,/partner/expReport.asp?id=3020&page=3&bgbn=R,0
17,Spring of Haarlem,신문방송학과,학부,2007,/partner/expReport.asp?id=2843&page=3&bgbn=R,1
16,Haarlem Blues,경영학과,학부,2007,/partner/expReport.asp?id=2692&page=4&bgbn=R,1
15,후회없는 선택,영어영문학과,학부,2006,/partner/expReport.asp?id=2499&page=4&bgbn=R,0
14,Inholland University의 추억,의류환경학과,학부,2006,/partner/expReport.asp?id=2466&page=4&bgbn=R,1
13,잊을 수 없는 홀랜드에서의 한학기,경영,학부,2006,/partner/expReport.asp?id=2448&page=4&bgbn=R,1
12,대학생활 가장 빛나는 순간- Inholland Haarlem,경영학과,학부,2006,/partner/expReport.asp?id=2245&page=4&bgbn=R,1
