No,제목,학과,과정,년도,href,BERT_SCORE
11,"제2의 모교, Tilburg University",경제학과,학부,2006-2007,/partner/expReport.asp?id=2607&page=5&bgbn=R,0
10,Welcome to Chilburg~,경제학과,학부,2006,/partner/expReport.asp?id=2052&page=5&bgbn=R,1
9,틸버그에서의 한학기,사회과학대,학부,2005,/partner/expReport.asp?id=2028&page=5&bgbn=R,1
8,Tilburg University,상경계열,학부,2005,/partner/expReport.asp?id=1986&page=6&bgbn=R,1
7,Great Time in Tilburg University,경제학과,학부,2004-2005,/partner/expReport.asp?id=1697&page=6&bgbn=R,1
6,Tilburg Univ.,심리학전공,학부,2004,/partner/expReport.asp?id=1312&page=6&bgbn=R,1
5,Tilburg university.,영어영문학전공,학부,2004년,/partner/expReport.asp?id=1265&page=6&bgbn=R,1
4,경험보고서,신문방송학과,학부,2002,/partner/expReport.asp?id=1149&page=6&bgbn=R,1
3,Tilburg에서의 6개월.,심리학전공,학부,2003,/partner/expReport.asp?id=1075&page=6&bgbn=R,1
2,Tilburg Univ..에서의 생활,국어국문학전공,학부,2002,/partner/expReport.asp?id=751&page=6&bgbn=R,1
1,Tilburg Univ. - 김서연,신문방송학과,학부,2001,/partner/expReport.asp?id=472&page=6&bgbn=R,1
