No,제목,학과,과정,년도,href,BERT_SCORE
2,"유럽의 심장, 평화롭고 선명했던 린츠를 그리워하며",도시공학과/컴퓨터과학과,학부,2018-2019,/partner/expReport.asp?id=15484&page=1&bgbn=R,1
1,정말 살기좋은 도시 린츠,정치외교학과,학부,2015-2016,/partner/expReport.asp?id=12721&page=1&bgbn=R,1
