No,제목,학과,과정,년도,href,BERT_SCORE
17,AUC 후기,언더우드국제학부,학부,2020,/partner/expReport.asp?id=16574&page=1&bgbn=R,0
16,교환학생은 암스테르담~!,정치외교학과,학부,2019,/partner/expReport.asp?id=16370&page=1&bgbn=R,0
15,AUC에서의 한 학기 후기,아시아학과,학부,2018,/partner/expReport.asp?id=15411&page=1&bgbn=R,0
14,AUC에서의 한 학기,경제학과,학부,2018,/partner/expReport.asp?id=15373&page=1&bgbn=R,0
13,AUC,CTM,학부,2017,/partner/expReport.asp?id=14659&page=1&bgbn=R,0
12,AUC,경영학,학부,2017,/partner/expReport.asp?id=14589&page=1&bgbn=R,0
11,AUC 후기,TAD (IID),학부,2016,/partner/expReport.asp?id=14239&page=1&bgbn=R,0
10,Amsterdam University College 경험보고서,언더우드국제대학,학부,2016,/partner/expReport.asp?id=13851&page=1&bgbn=R,1
9,Amsterdam University College ESP Experience,언더우드 정치외교,학부,2016,/partner/expReport.asp?id=13425&page=1&bgbn=R,1
8,AUC에서의 교환 생활,경제,학부,2015,/partner/expReport.asp?id=12709&page=1&bgbn=R,0
7,AUC에서 보낸 한 학기,철학과,학부,2015,/partner/expReport.asp?id=12294&page=2&bgbn=R,0
6,perfect place to enjoy Amsterdam and Europe,심리학과,학부,2014,/partner/expReport.asp?id=11836&page=2&bgbn=R,1
5,진정한 인문학 공부를 할 수 있는 최적의 학교와 도시!,철학과,학부,2014,/partner/expReport.asp?id=11784&page=2&bgbn=R,1
4,Unforgettable Amsterdam,언더우드국제대학 국제학부,학부,2013,/partner/expReport.asp?id=6929&page=2&bgbn=R,1
3,Unforgettable Amsterdam,언더우드국제대학 국제학부,학부,2013,/partner/expReport.asp?id=6928&page=2&bgbn=R,1
2,Life-changing experience! Miss you Amsterdam!,행정학/경제학,학부,2013,/partner/expReport.asp?id=6618&page=2&bgbn=R,1
1,암스테르담의 조그만 국제 학교,중어중문학과,학부,2012,/partner/expReport.asp?id=6035&page=2&bgbn=R,1
