No,제목,학과,과정,년도,href,BERT_SCORE
4,기억할만한 4개월,사학과,학부,2012,/partner/expReport.asp?id=5742&page=1&bgbn=R,1
3,캐나다에서의 반년,경영학과,학부,2012,/partner/expReport.asp?id=5721&page=1&bgbn=R,1
2,Trent에서의 1년,경제학과,학부,2010,/partner/expReport.asp?id=4648&page=1&bgbn=R,0
1,교환학생으로 캐나다를 다녀와서,상경대학,학부,2002-2003,/partner/expReport.asp?id=830&page=1&bgbn=R,1
