No,제목,학과,과정,년도,href,BERT_SCORE
7,잊지못할 소중한 추억.,교육학과,학부,2016,/partner/expReport.asp?id=12114&page=1&bgbn=R,1
6,첨부요 ^^;,경영학과,학부,2006,/partner/expReport.asp?id=2454&page=1&bgbn=R,1
5,The most innovative university in Canada- UW,경영학과,학부,2006,/partner/expReport.asp?id=2453&page=1&bgbn=R,1
4,Waterloo에서의 의미있던 기억,경제학과,학부,2006,/partner/expReport.asp?id=2438&page=1&bgbn=R,1
3,작지만 의미있었던 전환점- University of Waterloo,상경계열,학부,2005,/partner/expReport.asp?id=1917&page=1&bgbn=R,1
2,University of Waterloo,경제학전공,학부,2004,/partner/expReport.asp?id=1414&page=1&bgbn=R,1
1,잊지 못할 추억 Waterloo,경영학전공,학부,2004,/partner/expReport.asp?id=1337&page=1&bgbn=R,0
