,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,4,4개월 간의 짧고도 행복했던 기억,정치외교학과,학부,2016,/partner/expReport.asp?id=13680&page=1&bgbn=R,1,0.9418838620185852
1,3,7개월간의 휴식,생활디자인학과,학부,2015,/partner/expReport.asp?id=12318&page=1&bgbn=R,0,0.4939004182815552
2,2,베른에서의 1년 교환학생,정치외교학과,학부,2014,/partner/expReport.asp?id=12317&page=1&bgbn=R,0,0.724786639213562
3,1,베른 1년,정치외교학과,학부,2013-2014,/partner/expReport.asp?id=10768&page=1&bgbn=R,0,0.48335328698158264
