,No,제목,학과,과정,년도,href,RNN_SCORE
0,54,너무 행복했던 린네대학교 생활,사회학과,학부,2019-2020,/partner/expReport.asp?id=16478&page=1&bgbn=R,0.9558106064796448
1,53,즐거웠던 Linnaeus university에서의 한 학기,중어중문학과,학부,2019,/partner/expReport.asp?id=16329&page=1&bgbn=R,0.8830521702766418
2,52,영혼을 갈아 작성한 Linnaeus 도움글!!!!!,사회복지학과,학부,2019,/partner/expReport.asp?id=16268&page=1&bgbn=R,0.32861876487731934
3,51,Vaxjo 캠퍼스에서의 한 학기,정치외교학과,학부,2018,/partner/expReport.asp?id=15336&page=1&bgbn=R,0.7022072076797485
4,50,즐거웠던 1년간의 스웨덴 생활,영어영문학과,학부,2017-2018,/partner/expReport.asp?id=14965&page=1&bgbn=R,0.8803539276123047
5,49,아름다운 도시 백훼에서의 한 학기,국어국문학과,학부,2018,/partner/expReport.asp?id=14947&page=1&bgbn=R,0.8214086294174194
6,48,스웨덴 벡훼에서의 잊지 못할 한 학기,사회복지학과,학부,2018,/partner/expReport.asp?id=14815&page=1&bgbn=R,0.8873974680900574
7,47,즐거웠던 벡훼 생활,전기전자공학부,학부,2017,/partner/expReport.asp?id=14677&page=1&bgbn=R,0.8816865682601929
8,46,Linnaeus University에서의 한 학기,실내건축학과,학부,2016-2017,/partner/expReport.asp?id=13843&page=1&bgbn=R,0.7022072076797485
9,45,Linnaeus University 경험보고서,문화인류학과,학부,2016-2017,/partner/expReport.asp?id=13792&page=1&bgbn=R,0.6680845022201538
10,44,스웨덴 린네대학교(백훼캠퍼스) 경험보고서,언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13759&page=2&bgbn=R,0.8452937006950378
11,43,많은 것을 느낀 kalmar에서 한 학기,시스템생물학과,학부,2016,/partner/expReport.asp?id=13747&page=2&bgbn=R,0.7185018658638
12,42,하룻밤 꿈같았던 백훼에서의 일년,행정학과,학부,2014,/partner/expReport.asp?id=13724&page=2&bgbn=R,0.770355224609375
13,41,잊지 못할 벡훼에서의 한 학기,생활디자인학과,학부,2016,/partner/expReport.asp?id=13697&page=2&bgbn=R,0.8847562074661255
14,40,유럽에서 보내는 한 학기,사회복지학과,학부,2015,/partner/expReport.asp?id=13596&page=2&bgbn=R,0.38662654161453247
15,39,현실이라기엔 너무나 꿈만 같았던 Vaxjo에서의 한학기,행정학과,학부,2013,/partner/expReport.asp?id=13409&page=2&bgbn=R,0.8135119676589966
16,38,Learn Design with Real Materials,Information and Interaction Design,학부,2016,/partner/expReport.asp?id=13337&page=2&bgbn=R,0.5122702717781067
17,37,시간이 멈춘것 같았던 백훼에서의 한학기!,의류환경,학부,2016,/partner/expReport.asp?id=13307&page=2&bgbn=R,0.6518270373344421
18,36,스웨덴 Linnaeus University 경험보고서,정치외교학과,학부,2015,/partner/expReport.asp?id=12509&page=2&bgbn=R,0.7124097347259521
19,35,벡훼 스웨덴으로 오세요!!,사회복지학과,학부,2015,/partner/expReport.asp?id=12029&page=2&bgbn=R,0.5446372628211975
20,34,잊지 못할 벡훼에서의 2014년 가을,국어국문학과,학부,2014,/partner/expReport.asp?id=10716&page=3&bgbn=R,0.9365055561065674
21,33,본교 디자인학부생들에게 추천하고픈 프로그램,생활디자인학과,학부,2014,/partner/expReport.asp?id=10713&page=3&bgbn=R,0.8931493759155273
22,32,Linnaeus University (Vaxjo) 경험 보고서,영어영문학과,학부,2011,/partner/expReport.asp?id=10660&page=3&bgbn=R,0.6504539847373962
23,31,꿈만 같았던 한 학기,문화인류학과,학부,2013,/partner/expReport.asp?id=6877&page=3&bgbn=R,0.7910759449005127
24,30,Linnaeus(Vaxjo) University 교환학생,전기전자공학,학부,2013,/partner/expReport.asp?id=6845&page=3&bgbn=R,0.5139521360397339
25,29,인생의 터닝포인트,생활디자인학과,학부,2012-2013,/partner/expReport.asp?id=6819&page=3&bgbn=R,0.8616235256195068
26,28,교환학생 경험보고서,철학,학부,2013,/partner/expReport.asp?id=6768&page=3&bgbn=R,0.6901764869689941
27,27,아름다운 나라 스웨덴에서의 교환학생 생활 :),영어영문학과,학부,2011,/partner/expReport.asp?id=6754&page=3&bgbn=R,0.8818830847740173
28,26,linnaeus univ 교환학생 경험보고서,식품영양학과,학부,2013,/partner/expReport.asp?id=6672&page=3&bgbn=R,0.6584348678588867
29,25,"1년짜리 꿈을 꾸고 온, Linnaeus Univ.",생활디자인,학부,2012-2013,/partner/expReport.asp?id=6517&page=3&bgbn=R,0.6572810411453247
30,24,멋진 인연들로 가득한 Linneaus University로 오세요!:D,사회복지학과,학부,2012,/partner/expReport.asp?id=6240&page=4&bgbn=R,0.866877555847168
31,23,교환학생파견보고서,도시공학과,학부,2011,/partner/expReport.asp?id=5963&page=4&bgbn=R,0.681797981262207
32,22,Vaxjo University 파견보고서,전기전자공학,학부,2011,/partner/expReport.asp?id=5433&page=4&bgbn=R,0.663917064666748
33,21,스웨덴에서 잊을 수 없는 시간들.,심리학과,학부,2011,/partner/expReport.asp?id=5420&page=4&bgbn=R,0.7621593475341797
34,20,눈부시게 아름다웠던 스웨덴의 설경 1년 동안,문화인류학/심리학과,학부,2010-2011,/partner/expReport.asp?id=5412&page=4&bgbn=R,0.8590701818466187
35,19,교환학생 경험보고서,국어국문학과,학부,2011,/partner/expReport.asp?id=5393&page=4&bgbn=R,0.6901764869689941
36,18,교환학생 방문기,경제학부,학부,2010-2011,/partner/expReport.asp?id=5064&page=4&bgbn=R,0.21813583374023438
