,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,40,쿠프슈타인에서 노후 50년 땡겨쓰기,경영학과,학부,2017-2018,/partner/expReport.asp?id=15098&page=1&bgbn=R,0,0.416184663772583
1,39,평화로운 쿠프에서의 한 학기,경제,학부,2017ㅡ2018,/partner/expReport.asp?id=14709&page=1&bgbn=R,1,0.8167432546615601
2,38,"소중한 경험, 잊지 못할 기억, 쿠프슈타인",언론홍보영상학,학부,2017,/partner/expReport.asp?id=14264&page=1&bgbn=R,1,0.8546574711799622
3,37,언제나 마음속의 고향인 쿠프슈타인,중어중문학과,학부,2017,/partner/expReport.asp?id=14181&page=1&bgbn=R,1,0.8347998261451721
4,36,자연이 아름다운 쿠프슈타인에서의 한 학기,정치외교학과,학부,2017,/partner/expReport.asp?id=14102&page=1&bgbn=R,1,0.8706681728363037
5,35,여유로웠던 쿠프슈타인에서의 한 학기,행정학과,학부,2017,/partner/expReport.asp?id=14094&page=1&bgbn=R,1,0.816663384437561
6,34,쿠프슈타인에서의 한 학기,경제학부,학부,2016,/partner/expReport.asp?id=13866&page=1&bgbn=R,1,0.731432318687439
7,33,여유롭고 소중했던 쿠프슈타인에서의 시간,경제학부,학부,2016,/partner/expReport.asp?id=13822&page=1&bgbn=R,1,0.8529678583145142
8,32,마냥 아름다웠던 쿠프슈타인,언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13366&page=1&bgbn=R,1,0.8929295539855957
9,31,교환생활이 벌써 끝났다는게 믿기지 않아요. 다시 돌아가고 싶네요.,정치외교학과,학부,2016,/partner/expReport.asp?id=13270&page=1&bgbn=R,1,0.946469783782959
10,30,유럽에서의 한 학기,경제학과,학부,2015,/partner/expReport.asp?id=13188&page=2&bgbn=R,1,0.6749535202980042
11,29,"한 여름밤의 꿈 같았던, 오스트리아에서의 한 학기",경제학부,학부,2016,/partner/expReport.asp?id=13130&page=2&bgbn=R,1,0.8048068881034851
12,28,여유로웠던 한학기,경제학과,학부,2015,/partner/expReport.asp?id=12755&page=2&bgbn=R,1,0.7421743869781494
13,27,언제나 아련한 교환생활,응용통계학,학부,2014,/partner/expReport.asp?id=12367&page=2&bgbn=R,1,0.9046216011047363
14,26,포근한 추억이 된 쿠프슈타인에서의 한학기,경영학과,학부,2015,/partner/expReport.asp?id=12331&page=2&bgbn=R,1,0.8862007856369019
15,25,Kufstein에서의 삶,경영학과,학부,2014,/partner/expReport.asp?id=10776&page=2&bgbn=R,1,0.8713409900665283
16,24,대학생활 중 최고의 선택이었던 쿠프슈타인!,영어영문학과,학부,2014,/partner/expReport.asp?id=10680&page=2&bgbn=R,1,0.9451681971549988
17,23,대학 생활 중 최고의 선택이었던 쿠프슈타인에서의 한 학기,경제학과,학부,2014,/partner/expReport.asp?id=7452&page=2&bgbn=R,1,0.9360241293907166
18,22,쿠프에서의 즐거웠던 5개월,경영학과,학부,2014,/partner/expReport.asp?id=7391&page=2&bgbn=R,1,0.8625668287277222
19,21,특별한 모멘텀이 되어줬던 쿠프슈타인에서의 6개월,경제학과,학부,2013-2014,/partner/expReport.asp?id=6991&page=2&bgbn=R,1,0.8413835763931274
20,20,쿠프슈타인에서의 한학기,정치외교,학부,2013-2014,/partner/expReport.asp?id=6942&page=3&bgbn=R,1,0.731432318687439
21,19,쿠프에서의 한학기,경영학과,학부,2013,/partner/expReport.asp?id=6939&page=3&bgbn=R,1,0.731432318687439
22,18,너무나 행복했던 쿠프슈타인,행정학과,학부,2013,/partner/expReport.asp?id=6680&page=3&bgbn=R,1,0.959038257598877
23,17,쿠프슈타인에서의 느긋한 한때,행정학과,학부,2012,/partner/expReport.asp?id=6274&page=3&bgbn=R,1,0.5755512714385986
24,16,최고의 경험. 쿠프슈타인에서의 한학기.,경제학과,학부,2012,/partner/expReport.asp?id=6153&page=3&bgbn=R,1,0.9499658346176147
25,15,자연이 아름다운 쿠프슈타인에서의 한학기,경영학과,학부,2011-2012,/partner/expReport.asp?id=5645&page=3&bgbn=R,1,0.8706681728363037
26,14,노을이 아름다운 그 곳..,사회복지학과,학부,2011,/partner/expReport.asp?id=5204&page=3&bgbn=R,1,0.9266232848167419
27,13,"그리울 수 밖에 없는 곳, Kufstein",심리학과,학부,2011,/partner/expReport.asp?id=5125&page=3&bgbn=R,1,0.8104473948478699
28,12,삶의 활력소가 되어준 Kufstein에서의 한학기,경영학과,학부,2010-2011,/partner/expReport.asp?id=4787&page=3&bgbn=R,1,0.9225435853004456
29,11,kufstein에서의1년,경영학과,학부,2010,/partner/expReport.asp?id=4704&page=3&bgbn=R,0,0.731432318687439
30,10,알프스의 향기가 있는 아름다운 곳.,경영학과,학부,2010,/partner/expReport.asp?id=4480&page=4&bgbn=R,1,0.9185428023338318
31,9,2009년 겨울의 쿠프슈타인,경영대학,학부,2009,/partner/expReport.asp?id=4479&page=4&bgbn=R,1,0.6842297315597534
32,8,알프스에서의 꿈같던 유럽생활~,경영학과,학부,2009,/partner/expReport.asp?id=4285&page=4&bgbn=R,1,0.7618288993835449
33,7,"평생 잊을 수 없는 추억을 만든 곳, Kufstein",경영학과,학부,2008,/partner/expReport.asp?id=3683&page=4&bgbn=R,1,0.9703840017318726
34,6,마음의 고향 Kufstein,경제학과,학부,2008,/partner/expReport.asp?id=3424&page=4&bgbn=R,1,0.6472334861755371
35,5,잊지못할 Kufstein에서의 교환학생 경험,경영학과,학부,2006,/partner/expReport.asp?id=2811&page=4&bgbn=R,0,0.910061240196228
36,4,평생 안고 갈 추억들을 쌓아 준 Kufstein에서의 1년,경영학과,학부,2005-2006,/partner/expReport.asp?id=2401&page=4&bgbn=R,1,0.718975305557251
37,3,FHS Kustein에서의 겨울,경영학과,학부,2006,/partner/expReport.asp?id=2344&page=4&bgbn=R,1,0.7309131622314453
38,2,Keiser 산맥 으로 둘러 쌓인 Kufstein,경영학과,학부,2005-2006,/partner/expReport.asp?id=2284&page=4&bgbn=R,0,0.2732415795326233
39,1,"Life in kufstein, Tirol, Austria, Europe",경영학과,학부,2006,/partner/expReport.asp?id=2168&page=4&bgbn=R,1,0.5212031602859497
