,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,47,"살고 싶은 나라 스웨덴, 평화로운 도시 욘쇼핑",경영학과,학부,2014,/partner/expReport.asp?id=7265&page=1&bgbn=R,1,0.7541434168815613
1,46,Jonkoping International Business School,경제학과,학부,2013,/partner/expReport.asp?id=6970&page=1&bgbn=R,0,0.4899306297302246
2,45,JIBS에서의 평화로운 가을학기,경제학과,학부,2013,/partner/expReport.asp?id=6960&page=1&bgbn=R,1,0.896746039390564
3,44,진정한 인터네셔널한 학교,의류환경학과,학부,2013,/partner/expReport.asp?id=6952&page=1&bgbn=R,1,0.8133668899536133
4,43,JIBS!,경영학과,학부,2012-2013,/partner/expReport.asp?id=6797&page=1&bgbn=R,1,0.48335328698158264
5,42,Exchange Program in JIBS,동아시아국제학부,학부,2013-1,/partner/expReport.asp?id=6606&page=1&bgbn=R,0,0.4899306297302246
6,41,욘쇼핑에서 보낸 한학기,경영학과,학부,2013,/partner/expReport.asp?id=6544&page=1&bgbn=R,1,0.5509714484214783
7,40,아름다운 나라 스웨덴으로 오세요,의류환경학/경영학,학부,2012,/partner/expReport.asp?id=6282&page=1&bgbn=R,1,0.8674625754356384
8,39,미국 유럽 고민될 땐. 그냥 스웨덴 하시죠.,경영학과,학부,2012,/partner/expReport.asp?id=6012&page=1&bgbn=R,1,0.5956026911735535
9,38,새로운즐거움과 고민을 안겨준 1년,경영학과,학부,2011-2012,/partner/expReport.asp?id=5946&page=1&bgbn=R,0,0.9615971446037292
10,37,스웨덴에서의 잊지못할 가을학기,경제학과,학부,2011,/partner/expReport.asp?id=5526&page=2&bgbn=R,1,0.9455037713050842
11,36,인생 최고의 1년,경영학과,학부,2011,/partner/expReport.asp?id=5463&page=2&bgbn=R,1,0.9356017112731934
12,35,교환학생최고의대학,경영학과,학부,2011,/partner/expReport.asp?id=5407&page=2&bgbn=R,1,0.8694521188735962
13,34,욘쇼핑~!,경영학과,학부,2011,/partner/expReport.asp?id=5370&page=2&bgbn=R,0,0.3821335434913635
14,33,"Hejhej, JIBS :)",경제학과,학부,2011,/partner/expReport.asp?id=5181&page=2&bgbn=R,1,0.4899306297302246
15,32,Hej hej,행정학과,학부,2011,/partner/expReport.asp?id=5178&page=2&bgbn=R,1,0.48335328698158264
16,31,전혀 다른 곳에서의 1년,경영학과,학부,2010-2011,/partner/expReport.asp?id=4984&page=2&bgbn=R,0,0.5969342589378357
17,30,JIBS에서의 일 년,법학과,학부,2010,/partner/expReport.asp?id=4791&page=2&bgbn=R,1,0.6775053143501282
18,29,경험보고서,정치외교학과,학부,2010,/partner/expReport.asp?id=4760&page=2&bgbn=R,0,0.6995068192481995
19,28,Hejhej,법과대학,학부,2010,/partner/expReport.asp?id=4670&page=2&bgbn=R,1,0.47254469990730286
20,27,꿈만 같은 JIBS에서의 1년,경영학과,학부,2009-2010,/partner/expReport.asp?id=4584&page=3&bgbn=R,0,0.8473075032234192
21,26,내 인생을 바꾼 최고의 선택! JIBS,경영학과,학부,2009,/partner/expReport.asp?id=4175&page=3&bgbn=R,1,0.9736542701721191
22,25,새로운 세상 그리고 성장,경제학과,학부,2009,/partner/expReport.asp?id=4100&page=3&bgbn=R,1,0.9329981803894043
23,24,Välkommen! JIBS에서 보낸 잊지못할 1년,행정학과,학부,2009,/partner/expReport.asp?id=4062&page=3&bgbn=R,1,0.8755185008049011
24,23,A whole new world,경영학과,학부,2009,/partner/expReport.asp?id=4013&page=3&bgbn=R,1,0.4899306297302246
25,22,Sweden에서의 1년,경영학과,학부,2008-2009,/partner/expReport.asp?id=3729&page=3&bgbn=R,0,0.645369291305542
26,21,JIBS,경영,학부,2009,/partner/expReport.asp?id=3672&page=3&bgbn=R,0,0.47254469990730286
27,20,완전히 다른 세상으로의 초대,정치외교학과,학부,2008-2009,/partner/expReport.asp?id=3661&page=3&bgbn=R,1,0.8679335117340088
28,19,Hejhej~JIBS,경영학과,학부,2008,/partner/expReport.asp?id=3157&page=3&bgbn=R,0,0.4831991493701935
29,18,jibs? jibs!,경제,학부,2008,/partner/expReport.asp?id=3142&page=3&bgbn=R,1,0.4899306297302246
30,17,고맙습니다!,경제학,학부,2007-2008,/partner/expReport.asp?id=3134&page=4&bgbn=R,1,0.8253641128540039
31,16,"옌쇼핑, 내 대학생활의 특별한 기억.",경영학과,학부,2007,/partner/expReport.asp?id=2985&page=4&bgbn=R,1,0.6006605625152588
32,15,JIBS에서의 한학기,경영학과,학부,2007,/partner/expReport.asp?id=2957&page=4&bgbn=R,1,0.645369291305542
33,14,10년 뒤에 다시 가볼 JIBS!,중어중문학과,학부,2006-2007,/partner/expReport.asp?id=2778&page=4&bgbn=R,1,0.6527969837188721
34,13,"교환학생들의 천국, JIBS",경영학과,학부,2006-2007,/partner/expReport.asp?id=2663&page=4&bgbn=R,1,0.5855919718742371
35,12,"꼭 다시 한번, 돌아가고 싶습니다.",경영학과,학부,2006,/partner/expReport.asp?id=2420&page=4&bgbn=R,1,0.961971640586853
36,11,너무나도 큰 의미로 다가왔던 지난 1년,경영학과,학부,2005-2006,/partner/expReport.asp?id=2174&page=4&bgbn=R,0,0.8851519227027893
37,10,"내 생애 최고의 순간, JIBS에서의 한학기!!",경영학과,학부,2005,/partner/expReport.asp?id=2118&page=4&bgbn=R,1,0.975830078125
38,9,JIBS에서의 즐거웠던 기억을 떠올리며,경영학과,학부,2005,/partner/expReport.asp?id=1991&page=4&bgbn=R,1,0.9488652944564819
39,8,그리운 JIBS,경영학과,학부,2004-2005,/partner/expReport.asp?id=1708&page=4&bgbn=R,1,0.7356799840927124
40,7,JIBS,상경대학 상경계열,학부,2004-2005,/partner/expReport.asp?id=1706&page=5&bgbn=R,0,0.47254469990730286
41,6,Jonkoping International Business School,상경계열,학부,2003,/partner/expReport.asp?id=1661&page=5&bgbn=R,0,0.4899306297302246
42,5,JIBS,경영학전공,학부,2004,/partner/expReport.asp?id=1418&page=5&bgbn=R,0,0.47254469990730286
43,4,The most beautiful time in my life,경영학전공,학부,2002,/partner/expReport.asp?id=803&page=5&bgbn=R,1,0.5253964066505432
44,3,Jonkoping International Business School - 박미경,경영학전공,학부,2001-2002,/partner/expReport.asp?id=667&page=5&bgbn=R,1,0.5123643279075623
45,2,Jonkoping International Business School - 김인주,상경계열,학부,2001,/partner/expReport.asp?id=448&page=5&bgbn=R,0,0.5123643279075623
46,1,Jonkoping Univ.-조순영,상경대학,학부,2000,/partner/expReport.asp?id=180&page=5&bgbn=R,1,0.5459915995597839
