,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,28,튀빙엔에서의 대학 생활 1년,독어독문학과,학부,2019-2020,/partner/expReport.asp?id=16355&page=1&bgbn=R,0,0.6622480750083923
1,27,튀빙엔에서의 교환학생 생활,독어독문학,학부,2019,/partner/expReport.asp?id=15959&page=1&bgbn=R,0,0.6777687072753906
2,26,꿈 같았던 튀빙겐에서의 1년,독어독문학과,학부,2018-2019,/partner/expReport.asp?id=15876&page=1&bgbn=R,0,0.8799393773078918
3,25,튀빙엔에서 1년 교환 생활을 마치고,독어독문학과,학부,2018-2019,/partner/expReport.asp?id=15400&page=1&bgbn=R,0,0.50313401222229
4,24,튀빙엔에서의 즐거운 교환학생 생활,독어독문학과,학부,2017-2018,/partner/expReport.asp?id=15144&page=1&bgbn=R,1,0.8912975192070007
5,23,아름다운 튀빙겐에서의 1학기,행정학과,학부,2016-2017,/partner/expReport.asp?id=15120&page=1&bgbn=R,1,0.8909487128257751
6,22,작지만 예쁜 도시 튀빙엔에서의 한 학기,독어독문학과,학부,2018,/partner/expReport.asp?id=15083&page=1&bgbn=R,1,0.8413727879524231
7,21,튀빙엔 교환학생 생활에 대하여,독어독문학과,학부,2014,/partner/expReport.asp?id=14805&page=1&bgbn=R,1,0.693276047706604
8,20,튀빙엔 교환생활,독어독문학과,학부,2017,/partner/expReport.asp?id=14637&page=1&bgbn=R,0,0.3439614772796631
9,19,즐거웠던 독일생활,경제학과,학부,2017,/partner/expReport.asp?id=14216&page=1&bgbn=R,0,0.9226241707801819
10,18,Eberhard Karls Universitat Tubingen 교환학생 파견보고서,독어독문학과,학부,2017,/partner/expReport.asp?id=14175&page=2&bgbn=R,1,0.6019555330276489
11,17,나에게 큰 터닝포인트가 되었던 튀빙겐,독어독문학과,학부,2015-2016,/partner/expReport.asp?id=13408&page=2&bgbn=R,1,0.853284478187561
12,16,튀빙엔에서의 잊지못할 경험들,독어독문학과,학부,2014-2015,/partner/expReport.asp?id=13397&page=2&bgbn=R,1,0.882961094379425
13,15,단연코 세계 최고였던 튀빙엔에서의 생활!,언더우드국제대학 인문사회학부,학부,2016,/partner/expReport.asp?id=13370&page=2&bgbn=R,1,0.9851089119911194
14,14,"제 2의 고향, 튀빙엔에서의 교환학생 경험보고서",영어영문학과,학부,2016,/partner/expReport.asp?id=13282&page=2&bgbn=R,0,0.7848784327507019
15,13,튀빙엔 대학교 경험보고서,독어독문학과,학부,2015-2016,/partner/expReport.asp?id=12811&page=2&bgbn=R,1,0.7448160648345947
16,12,튀빙엔에서의 교환학생을 마치며,독어독문학과,학부,2014-2915,/partner/expReport.asp?id=11815&page=2&bgbn=R,0,0.9149065613746643
17,11,liebliches Tubingen *.*,독어독문학과,학부,2014-2015,/partner/expReport.asp?id=10773&page=2&bgbn=R,1,0.4831991493701935
18,10,튀빙엔에서 보낸 1년간의 교환학생 생활,경영학과,학부,2013-2014,/partner/expReport.asp?id=7000&page=2&bgbn=R,0,0.641569197177887
19,9,잊지못할 튀빙엔에서의 1년,행정학과,학부,2011,/partner/expReport.asp?id=6815&page=2&bgbn=R,0,0.9082924127578735
20,8,"내 인생의 터닝포인트, Tubingen에서의 교환학기",신문방송학과,학부,2012,/partner/expReport.asp?id=6371&page=3&bgbn=R,1,0.8511390089988708
21,7,생각지도 못했던 독일에서의 교환학생,문과대학 사학과,학부,2012-2013,/partner/expReport.asp?id=6214&page=3&bgbn=R,1,0.7479981184005737
22,6,튀빙엔에서의 1년,신학과,학부,2010-2011,/partner/expReport.asp?id=5055&page=3&bgbn=R,0,0.645369291305542
23,5,잊지 못할 추억 in Tuebingen,행정학과,학부,2011,/partner/expReport.asp?id=5042&page=3&bgbn=R,1,0.93756103515625
24,4,"제2의 고향, 튀빙엔",신문방송학과,학부,2010,/partner/expReport.asp?id=4433&page=3&bgbn=R,0,0.3739181458950043
25,3,독일 교환학생 경과 보고서,의용전자공학,학부,2007,/partner/expReport.asp?id=2647&page=3&bgbn=R,0,0.8054205179214478
26,2,꿈 같았던 한학기.,영어영문,학부,2006,/partner/expReport.asp?id=2593&page=3&bgbn=R,1,0.8733163475990295
27,1,"대학이 낳은 도시, 튀빙엔",의용전자공학과,학부,2006-2007,/partner/expReport.asp?id=2396&page=3&bgbn=R,1,0.5503284931182861
