,No,제목,학과,과정,년도,href,RNN_SCORE
0,19,추억 깊은 ICU에서의 나날,Global Elite Department,학부,2019,/partner/expReport.asp?id=16031&page=1&bgbn=R,0.9295417666435242
1,18,너무나 행복했던 ICU에서 1년,수학과,학부,2011-2012,/partner/expReport.asp?id=5833&page=1&bgbn=R,0.9572436809539795
2,17,일본과 일본 속의 외국 모두를 접할 수 있는 ICU,신문방송학과,학부,2010-2011,/partner/expReport.asp?id=5089&page=1&bgbn=R,0.23470839858055115
3,16,ICU로 가게 되어 얼마나 다행이었는지!,신문방송학과,학부,2009-2010,/partner/expReport.asp?id=4874&page=1&bgbn=R,0.7719434499740601
4,15,ICU에서 만든 소중한 추억,언론홍보영상학부,학부,2009-2010,/partner/expReport.asp?id=4322&page=1&bgbn=R,0.7407892942428589
5,14,ICU에서의 잊을 수 없는 1년,언더우드국제학부,학부,2008-2009,/partner/expReport.asp?id=3655&page=1&bgbn=R,0.8490613698959351
6,13,최고의 1년- ICU,임상병리학과,학부,2007-2008,/partner/expReport.asp?id=3228&page=1&bgbn=R,0.9355214834213257
7,12,망설이지 마세요 ! ICU에서의 1년 !!,토목환경공학과,학부,2007-2008,/partner/expReport.asp?id=3214&page=1&bgbn=R,0.777040958404541
8,11,"최고의 1년, ICU 생활",생활디자인학과,학부,2006-2007,/partner/expReport.asp?id=2682&page=1&bgbn=R,0.9294966459274292
9,10,내 인생의 전환점 ICU,사회복지학과,학부,2006-2007,/partner/expReport.asp?id=2661&page=1&bgbn=R,0.8362404108047485
10,9,후회없는 선택-ICU,경영학과,학부,2005-2006,/partner/expReport.asp?id=2223&page=2&bgbn=R,0.8111854195594788
11,8,ICU에서의 특별한 일년.,경영학과,학부,2005-2006,/partner/expReport.asp?id=2176&page=2&bgbn=R,0.8006126880645752
12,7,경험보고서,주거환경학과,학부,2004-2005,/partner/expReport.asp?id=1739&page=2&bgbn=R,0.7555708289146423
13,6,경험보고서,전산학전공,학부,2003-2004,/partner/expReport.asp?id=1231&page=2&bgbn=R,0.7555708289146423
14,5,경험보고서,상경계열,학부,2003-2004,/partner/expReport.asp?id=1207&page=2&bgbn=R,0.7555708289146423
15,4,동경에서의 드라마,신문방송학과,학부,2002-2003,/partner/expReport.asp?id=892&page=2&bgbn=R,0.8864797353744507
16,3,International Christian Univ. - 한현주,영어영문학전공,학부,2001-2002,/partner/expReport.asp?id=613&page=2&bgbn=R,0.5139521360397339
17,2,International Christian Univ.-장희원,상경계열,학부,2000-2001,/partner/expReport.asp?id=309&page=2&bgbn=R,0.4870545268058777
18,1,International Christian Univ.-황누리,유럽어문학부,학부,1999-2000,/partner/expReport.asp?id=109&page=2&bgbn=R,0.5192196369171143
