,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,23,내 인생 가장 행복했던 6개월을 함께 한 하노버,독어독문학과,학부,2018,/partner/expReport.asp?id=15466&page=1&bgbn=R,1,0.9733605980873108
1,22,매력적인 도시 하노버에서 살기,독어독문학과,학부,2018,/partner/expReport.asp?id=15437&page=1&bgbn=R,1,0.8913639783859253
2,21,하노버에서의 한 학기,사회학과,학부,2017,/partner/expReport.asp?id=14698&page=1&bgbn=R,1,0.731432318687439
3,20,하노버의 겨울학기,경제학부,학부,2017,/partner/expReport.asp?id=14688&page=1&bgbn=R,1,0.6842297315597534
4,19,하노버에서의 한 학기,독어독문학,학부,2016,/partner/expReport.asp?id=14125&page=1&bgbn=R,1,0.731432318687439
5,18,한적한 하노버에서의 한학기,독어독문학과,학부,2016,/partner/expReport.asp?id=13786&page=1&bgbn=R,1,0.7022072076797485
6,17,평생 잊지 못할 하노버에서의 생활,사회학과,학부,2015,/partner/expReport.asp?id=12773&page=1&bgbn=R,1,0.9266473054885864
7,16,소중했던 하노버의 생활,신학과,학부,2013-2014,/partner/expReport.asp?id=7309&page=1&bgbn=R,1,0.6286256909370422
8,15,여유가 넘치는 하노버,독어독문학과,학부,2013,/partner/expReport.asp?id=6979&page=1&bgbn=R,1,0.8271811008453369
9,14,언제나 마음 속에 살아있는 그곳.,식품영양학과,학부,2012,/partner/expReport.asp?id=6758&page=1&bgbn=R,1,0.9805577993392944
10,13,꿈만 같았던 시간!,영어영문학과,학부,2013,/partner/expReport.asp?id=6691&page=2&bgbn=R,0,0.7326459884643555
11,12,다시 돌아가고 싶은 하노버,독어독문,학부,2013,/partner/expReport.asp?id=6653&page=2&bgbn=R,1,0.9130617380142212
12,11,여유로웠던 하노버에서의 생활,문화인류학과,학부,2012,/partner/expReport.asp?id=5974&page=2&bgbn=R,1,0.8084553480148315
13,10,그리운 하노버,행정학과,학부,2011,/partner/expReport.asp?id=5715&page=2&bgbn=R,1,0.7412612438201904
14,9,내 생애 가장 여유로왔던 하노버에서의 생활,경영학과,학부,2010,/partner/expReport.asp?id=5477&page=2&bgbn=R,1,0.9606242179870605
15,8,하노버에서 잊을 수 없는 1년 ;),경제학과,학부,2010-2011,/partner/expReport.asp?id=5192&page=2&bgbn=R,1,0.766124963760376
16,7,하노버에서의 한 학기,독어독문,학부,2011,/partner/expReport.asp?id=5168&page=2&bgbn=R,1,0.731432318687439
17,6,하노버의 봄,정치외교학과,학부,2011,/partner/expReport.asp?id=5153&page=2&bgbn=R,1,0.5495730638504028
18,5,하노버에서 1년의 시간,임상병리학과,학부,2010,/partner/expReport.asp?id=4825&page=2&bgbn=R,0,0.311894953250885
19,4,짧지만 즐거웠던 하노버에서의 한학기,국어국문,학부,2010,/partner/expReport.asp?id=4793&page=2&bgbn=R,1,0.8614034652709961
20,3,유럽의 한 복판에서 :),정치외교학과,학부,2009,/partner/expReport.asp?id=4153&page=3&bgbn=R,0,0.18639010190963745
21,2,하노버에서의 끝없는 겨울학기 ㅇㅅㅇ,교육학과,학부,2009-2010,/partner/expReport.asp?id=4104&page=3&bgbn=R,1,0.9310954809188843
22,1,하노버 대학교,생물학과,학부,2008-2009,/partner/expReport.asp?id=3697&page=3&bgbn=R,1,0.6597392559051514
