,No,제목,학과,과정,년도,href,BERT_SCORE,RNN_SCORE
0,4,Universidad de Monterrey,지속개발협력과,학부,2016,/partner/expReport.asp?id=13384&page=1&bgbn=R,1,0.515648603439331
1,3,Universidad de monterey (UDEM),경제학과,학부,2016,/partner/expReport.asp?id=13265&page=1&bgbn=R,0,0.5139521360397339
2,2,UDEM에서의 일년을 보내고,경제학과,학부,2012,/partner/expReport.asp?id=6096&page=1&bgbn=R,1,0.8443871736526489
3,1,UDEM에서의 1년,정치외교학과,학부,2012,/partner/expReport.asp?id=6083&page=1&bgbn=R,0,0.731432318687439
