,No,제목,학과,과정,년도,href,RNN_SCORE
0,6,Arrivederci Milano!,언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13789&page=1&bgbn=R,0.515648603439331
1,5,"Mi manchi, Milano!",언론홍보영상학부,학부,2016,/partner/expReport.asp?id=13692&page=1&bgbn=R,0.5122702717781067
2,4,Ciao Milano!,의류환경학과,학부,2015,/partner/expReport.asp?id=13488&page=1&bgbn=R,0.515648603439331
3,3,Mamma Mia Milano!,언론홍보영상학부,학부,2015,/partner/expReport.asp?id=12352&page=1&bgbn=R,0.5123575925827026
4,2,Ciao Milan!,국제학과,학부,2014,/partner/expReport.asp?id=8604&page=1&bgbn=R,0.515648603439331
5,1,"Ti amo, Milano! Ti amo Italia !!",의류환경학과,학부,2013,/partner/expReport.asp?id=7020&page=1&bgbn=R,0.5212031602859497
